Province_State,Country_Region,Lat,Long_
,Angola,-11.2027,17.8739
,Cabo Verde,16.5388,-23.0418
Sint Maarten,Netherlands,18.0425,-63.0548
,Niger,17.6078,8.0817
,Papua New Guinea,-6.315,143.9555
Isle of Man,United Kingdom,54.2361,-4.5481
,Zimbabwe,-20.0,30.0
Nova Scotia,Canada,44.682,-63.7443
,Zimbabwe,-19.0154,29.1549
Northwest Territories,Canada,64.8255,-124.8457
,Cape Verde,15.1111,-23.6167
,East Timor,-8.55,125.56
,Eritrea,15.1794,39.7823
,Uganda,1.0,32.0
New York,US,40.76727260000001,-73.97152637
New York,US,40.74066522,-73.58941873
New York,US,41.16278376,-73.75741653
New York,US,40.88320119,-72.8012172
New York,US,41.15027894,-74.02560498
New York,US,41.40337468,-74.30240757
New York,US,42.60060306,-73.97723916
New York,US,41.76486060000001,-73.74356679
New York,US,43.14638895,-77.69322942
New York,US,42.76249024,-78.73063652
New York,US,43.00491923,-76.19971155
New York,US,43.10904162,-73.86653895
New York,US,42.81668777,-74.05278291
New York,US,41.42630093,-73.74965532
New York,US,0.0,0.0
New York,US,42.71348136,-73.51089874
New York,US,41.89027881,-74.26252104
New York,US,42.24819348,-73.63089095
New York,US,42.44945765,-76.47229843
New York,US,41.71579493,-74.76394559
New York,US,43.19898042,-78.74777412
New York,US,43.24375382,-75.43710392
New York,US,42.85145728,-77.30874425
New York,US,44.74530905,-73.67875352
New York,US,43.42034246,-74.96145307
New York,US,42.15903158,-75.81326086
New York,US,42.90123494,-74.44011632
New York,US,44.11630765,-73.77297842
New York,US,43.15494365,-77.02976528
New York,US,42.275797,-74.12384884
New York,US,42.25748406,-78.02750466
New York,US,42.70145109,-78.22199579
New York,US,43.66146647,-74.49721957
New York,US,42.49430041,-75.60887553
New York,US,42.2689144,-77.3829924
New York,US,42.72596275,-77.77966158
New York,US,42.59509207,-76.07048931
New York,US,42.19837623,-74.96709306
New York,US,42.16852837,-76.30835812
New York,US,43.0022601,-78.19135193
New York,US,43.56173026,-73.8433699
New York,US,43.31153794,-73.43043448
New York,US,42.58831742,-74.44339029999998
New York,US,43.11363907,-74.41798804
New York,US,44.04200959,-75.94653457
Washington,US,47.49137892,-121.8346131
Washington,US,48.04615983,-121.7170703
Washington,US,0.0,0.0
Washington,US,47.03892768,-122.1405958
Washington,US,48.48171488,-121.766131
Washington,US,48.14713305,-122.5216407
Washington,US,47.62113146,-117.4046494
Washington,US,47.20753737,-119.4500749
Washington,US,47.63479026,-122.6436061
Washington,US,46.45738486,-120.7380126
Washington,US,48.82227976,-121.7490018
Washington,US,46.9291895,-122.8290656
Washington,US,45.77568046,-122.4829204
Washington,US,46.23946995,-119.5120834
Washington,US,47.75003077,-123.56097040000002
Washington,US,47.12521214,-120.679439
Washington,US,45.87325839,-120.7913598
Washington,US,48.04754642,-123.9226319
Washington,US,46.19074721,-122.6782231
Washington,US,47.87046092,-120.6173956
Washington,US,46.53351425,-118.9018212
Washington,US,46.57756476,-122.3925769
Washington,US,47.14003705,-123.7820567
Washington,US,46.29442881,-117.9051983
Washington,US,47.57705241,-118.4194388
Washington,US,47.35007586,-123.1863685
Washington,US,46.23040051,-118.4775539
Washington,US,48.40035475,-117.8542701
Washington,US,48.60182783,-122.96745
Washington,US,46.90022523,-117.5241763
New Jersey,US,40.96010917,-74.07164325
New Jersey,US,0.0,0.0
New Jersey,US,40.78681335,-74.24657979
New Jersey,US,40.26549699,-74.22240686
New Jersey,US,40.43629879,-74.41426991
New Jersey,US,40.73766234,-74.07515667
New Jersey,US,40.65835409,-74.30680092
New Jersey,US,40.86095313,-74.54553709999998
New Jersey,US,39.8895449,-74.28089251
New Jersey,US,41.03238628,-74.29954144
New Jersey,US,40.56465737,-74.61683016
New Jersey,US,40.28047017,-74.70479631
